iid,sub_class,n_turns,tool_entropy_last10
AnalogJ__lexicon-336,wandering,46,0.4689955935892812
AnalogJ__lexicon-336,wandering,25,-0.0
AnalogJ__lexicon-336,wandering,29,0.9709505944546686
AnalogJ__lexicon-336,wandering,155,0.4689955935892812
AnalogJ__lexicon-336,wandering,41,1.6854752972273346
Melevir__cognitive_complexity-15,wandering,17,1.5219280948873621
Melevir__cognitive_complexity-15,wandering,58,-0.0
Melevir__cognitive_complexity-15,wandering,31,1.5709505944546684
Melevir__cognitive_complexity-15,wandering,68,0.8812908992306927
Melevir__cognitive_complexity-15,wandering,35,-0.0
PyCQA__pyflakes-761,wandering,44,1.5219280948873621
PyCQA__pyflakes-761,wandering,39,1.5709505944546684
PyCQA__pyflakes-761,wandering,38,-0.0
PyCQA__pyflakes-761,wandering,47,2.8464393446710154
PyCQA__pyflakes-761,wandering,83,1.3709505944546687
PyCQA__pyflakes-761,wandering,50,1.3609640474436813
PyCQA__pyflakes-761,wandering,57,1.5709505944546684
PyCQA__pyflakes-761,wandering,40,2.2464393446710154
ReproNim__reproman-518,wandering,69,1.5709505944546684
ShawHahnLab__igseq-2,wandering,32,1.3709505944546687
ShawHahnLab__igseq-2,wandering,56,1.9609640474436814
ShawHahnLab__igseq-2,wandering,25,-0.0
ShawHahnLab__igseq-2,wandering,26,0.8812908992306927
ShawHahnLab__igseq-2,wandering,29,1.5709505944546684
TACC__agavepy-62,wandering,23,-0.0
TACC__agavepy-62,wandering,55,2.121928094887362
TACC__agavepy-62,wandering,58,-0.0
TACC__agavepy-62,wandering,27,1.5709505944546684
TACC__agavepy-62,wandering,37,1.5709505944546684
TACC__agavepy-62,wandering,233,0.4689955935892812
absent1706__sqlalchemy-mixins-108,wandering,81,1.0
absent1706__sqlalchemy-mixins-108,wandering,96,0.8812908992306927
absent1706__sqlalchemy-mixins-108,wandering,72,1.0
absent1706__sqlalchemy-mixins-108,wandering,51,0.4689955935892812
absent1706__sqlalchemy-mixins-108,wandering,73,1.9709505944546688
absent1706__sqlalchemy-mixins-108,wandering,71,2.1219280948873624
absent1706__sqlalchemy-mixins-108,wandering,53,1.0
ahawker__ulid-59,wandering,22,0.9709505944546686
ahawker__ulid-59,wandering,26,1.0
ahawker__ulid-59,wandering,28,1.0
airspeed-velocity__asv-702,wandering,35,1.5709505944546684
airspeed-velocity__asv-702,wandering,14,1.8464393446710154
airspeed-velocity__asv-702,wandering,44,2.321928094887362
airspeed-velocity__asv-702,wandering,66,-0.0
airspeed-velocity__asv-702,wandering,52,2.321928094887362
asottile__pyupgrade-142,wandering,9,1.4466166676282084
asottile__pyupgrade-142,wandering,49,-0.0
asottile__pyupgrade-142,wandering,32,1.5709505944546684
asottile__pyupgrade-142,wandering,127,-0.0
asottile__pyupgrade-142,wandering,32,1.9709505944546686
asottile__pyupgrade-142,wandering,21,1.0
asottile__pyupgrade-142,wandering,45,-0.0
asottile__pyupgrade-142,wandering,38,1.5219280948873621
asottile__pyupgrade-142,wandering,13,2.3219280948873626
asottile__pyupgrade-147,wandering,71,1.0
asottile__pyupgrade-147,wandering,198,-0.0
asottile__pyupgrade-147,wandering,33,-0.0
asottile__pyupgrade-147,wandering,13,1.5709505944546684
asottile__pyupgrade-347,wandering,147,0.9709505944546686
asottile__pyupgrade-347,wandering,56,1.3709505944546687
asottile__pyupgrade-347,wandering,78,1.8464393446710154
asottile__pyupgrade-545,wandering,28,1.9219280948873623
asottile__pyupgrade-545,wandering,128,0.7219280948873623
asottile__pyupgrade-545,wandering,43,1.5709505944546684
asottile__pyupgrade-545,wandering,167,1.0
