iid,text_doubt_density,text_exploration_density,text_completion_density,text_thinking_length_mean,text_thinking_length_std,text_thinking_length_final,text_content_length_mean,text_content_length_final,text_thinking_to_content_ratio_mean,text_doubt_density_late,text_ngram_overlap_late,tool_entropy_full,tool_entropy_first10,tool_entropy_last10,tool_diversity_count,tool_top_fraction,tool_switching_rate,tool_repetition_max_run,tool_calls_per_turn_mean,tool_total_calls,L11_norm_mean,L11_norm_std,L11_norm_late_mean,L11_cosine_consec_mean,L11_cosine_consec_late,L11_drift_first_last,L23_norm_mean,L23_norm_std,L23_norm_late_mean,L23_cosine_consec_mean,L23_cosine_consec_late,L23_drift_first_last,L31_norm_mean,L31_norm_std,L31_norm_late_mean,L31_cosine_consec_mean,L31_cosine_consec_late,L31_drift_first_last,L43_norm_mean,L43_norm_std,L43_norm_late_mean,L43_cosine_consec_mean,L43_cosine_consec_late,L43_drift_first_last,L55_norm_mean,L55_norm_std,L55_norm_late_mean,L55_cosine_consec_mean,L55_cosine_consec_late,L55_drift_first_last,cross_layer_norm_range_late_mean,cross_layer_norm_cv_late_mean,n_turns,patch_n_bytes,probe_score_final,probe_score_first,probe_score_trajectory_mean,probe_score_trajectory_late_mean,probe_score_volatility,probe_first_threshold_cross_turn,detector_v1_fire_turn,detector_v4_fire_turn,detector_v5_fire_turn,sub_class
instance_qutebrowser__qutebrowser-e57b6e0eeeb656eb2c84d6547d5a0a7333ecee85-v2ef375ac784985212b1805e1d0431dc8f1b3c171,0.18421052631578946,0.6052631578947368,0.18421052631578946,232.0,406.1497001689998,0.0,33.81578947368421,76.0,124.16490361093523,0.1,0.00782842052163699,1.1435462873114566,0.9910760598382222,1.3609640474436813,3.0,0.5405405405405406,0.25,13.0,0.9736842105263158,37.0,32.28641881169499,1.682608736407542,33.70354061126709,0.9862457993957732,0.9803975462913513,0.9553812146186829,40.44370692485088,4.611157855427043,43.66205177307129,0.9239087551832199,0.9139489769935608,0.8080521821975708,52.282928260597025,4.163753148012414,52.97703056335449,0.846091702580452,0.8164998352527618,0.6583484411239624,66.50064293113914,6.234244409318543,63.43728103637695,0.8049315793646706,0.7252091288566589,0.3290746510028839,150.9790224642367,9.717179555242183,144.89875030517578,0.7406078651547432,0.6313714146614074,0.31374573707580566,111.1952096939087,0.589712286144668,38.0,7197.0,0.9999999999997811,0.999933065076138,0.5895781738326167,0.8054863756451007,0.4531392237286829,0.0,,18.0,,success
instance_qutebrowser__qutebrowser-f631cd4422744160d9dcf7a0455da532ce973315-v35616345bb8052ea303186706cec663146f0f184,0.14,0.6,0.04,114.52,169.47250396450747,236.0,68.92,0.0,95.88946983889099,0.5,0.059689643387465526,0.5363596511250623,0.7219280948873623,-0.0,2.0,0.8775510204081632,0.20833333333333334,26.0,0.98,49.0,32.30251444602499,1.440280322395549,32.67094497680664,0.9798040625949701,0.989341652393341,0.9856144785881042,41.7831754100566,6.658283339964795,39.71570587158203,0.9181459173560143,0.9376678228378296,0.9181501865386963,53.892111174914305,5.321979715938265,52.94367561340332,0.8456487146516641,0.8793243050575257,0.7986565828323364,69.49444447731486,3.4344237242227287,68.55505638122558,0.8399945857624213,0.8567527294158935,0.7412166595458984,152.95940290178572,6.272446260451856,154.69302215576172,0.7870613895356655,0.804517513513565,0.6623767018318176,122.02207717895507,0.6350732898891351,50.0,4186.0,0.00781645977381687,0.9999563317357159,0.2504685893025444,0.2166742982713906,0.38172601354661195,0.0,,25.0,,locked
instance_qutebrowser__qutebrowser-54bcdc1eefa86cc20790973d6997b60c3bba884c-v2ef375ac784985212b1805e1d0431dc8f1b3c171,0.17142857142857143,0.6571428571428571,0.2857142857142857,95.22857142857143,204.61770426324108,0.0,91.45714285714286,8.0,54.23870548219288,0.2,0.018545577160840734,0.6948053635662362,0.8812908992306927,0.4689955935892812,3.0,0.8571428571428571,0.14705882352941177,12.0,1.0,35.0,32.825097056797574,1.502897384070385,33.501844024658205,0.9785777102498447,0.9826048374176025,0.9736918807029724,43.679866899762835,4.784658887404492,44.850425720214844,0.9139925451839671,0.9260604858398438,0.8582477569580078,54.74133311680385,3.714572536606991,55.73558883666992,0.8386837349218481,0.8656955599784851,0.7741045355796814,68.49756840297154,5.4662809008745175,70.36530303955078,0.7945540494778577,0.8090138792991638,0.7507694363594055,157.16993321010045,9.405645981115839,155.6648712158203,0.746107247822425,0.8003782391548157,0.6306192278862,122.16302719116212,0.6050914585562555,35.0,870.0,0.9999999499417885,0.9999841102238199,0.6094715495431678,0.6865696839812198,0.447327958408032,0.0,,17.0,,success
instance_qutebrowser__qutebrowser-2dd8966fdcf11972062c540b7a787e4d0de8d372-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,0.12,0.46,0.04,56.8,100.11793046203061,0.0,48.22,78.0,53.83910256410256,0.3,0.025214676034348165,0.7682814090975242,0.9709505944546686,0.4689955935892812,2.0,0.7755102040816326,0.2708333333333333,25.0,0.98,49.0,32.965597736592194,1.3731431289576812,32.88010787963867,0.9797302819788456,0.9828234553337097,0.9560180902481079,43.240547958685426,4.729901349940281,41.719520568847656,0.9177685553828875,0.9284331679344178,0.8205798864364624,54.118802362558796,3.7069423320786674,53.067772674560544,0.8540385129551092,0.8716307938098907,0.6730947494506836,69.02188694233797,5.594052383950911,72.23016815185547,0.8146206562717756,0.8402922749519348,0.5087400674819946,153.6364649558554,7.400047512500943,155.91115112304686,0.7554581171522537,0.7513701379299164,0.40167316794395447,123.0310432434082,0.623874297288139,50.0,2320.0,0.9999998433606653,0.9999999990540693,0.37459970071656906,0.18654573333228167,0.44813405854999977,0.0,,24.0,,wandering
instance_qutebrowser__qutebrowser-f7753550f2c1dcb2348e4779fd5287166754827e-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,0.1,0.5,0.425,364.95,1697.2733861991708,1142.0,332.7,0.0,74.46481703146375,0.0,0.025728748511592823,1.1287997673232602,0.4689955935892812,0.5032583347756457,3.0,0.5641025641025641,0.2631578947368421,9.0,0.975,39.0,31.42127320705316,2.0625351010781845,31.69424343109131,0.9793512068296734,0.9762409687042236,0.9820672869682312,42.09261879554162,4.50824587431941,43.34201011657715,0.9025066134176756,0.8847403109073639,0.8993096351623535,53.73697809072641,4.820174387856643,53.86499176025391,0.8173191625820962,0.7959187150001525,0.7925311923027039,65.99856929289989,5.891614507685504,65.71532745361328,0.777366180168955,0.7342446208000183,0.6895294189453125,150.271973047501,8.236730814358754,147.53855895996094,0.729983566622985,0.7083701312541961,0.5951676368713379,115.84431552886963,0.6022501732298887,40.0,3400.0,0.9999982985576367,0.9999998906771892,0.43229570051305233,0.5966510581219965,0.43873468971781143,0.0,,20.0,,success
instance_qutebrowser__qutebrowser-9b71c1ea67a9e7eb70dd83214d881c2031db6541-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,0.16,0.52,0.18,94.2,162.97754446548765,233.0,92.1,245.0,76.80478080988492,0.3,0.0024096385542168677,0.8267463724926178,0.7219280948873623,0.7219280948873623,2.0,0.74,0.24489795918367346,13.0,1.0,50.0,33.14025959014893,1.3687181396108723,33.92633819580078,0.9746213798620262,0.9680012822151184,0.9527078866958618,43.750756454467776,5.491589932068531,45.229834365844724,0.9028457634303034,0.8817177414894104,0.8052645325660706,53.804044799804686,4.637405797872976,54.4476131439209,0.8253793156876856,0.7872711300849915,0.6420280933380127,67.93718879699708,6.158828721347977,64.7662483215332,0.7823962228638786,0.6811964213848114,0.3267669081687927,152.8465170288086,8.763665834454985,147.22735137939452,0.7286350465550715,0.600045844912529,0.39590340852737427,113.30101318359375,0.5853363754769129,50.0,3520.0,0.9999999999067204,0.9999999057119793,0.5322656352987404,0.768977774205041,0.44585092151764677,0.0,,25.0,,wandering
instance_qutebrowser__qutebrowser-305e7c96d5e2fdb3b248b27dfb21042fb2b7e0b8-v2ef375ac784985212b1805e1d0431dc8f1b3c171,0.1,0.58,0.06,69.42,116.8102889303849,114.0,52.4,0.0,65.06314285714285,0.2,0.024491360089186176,0.8267463724926178,0.8812908992306927,0.7219280948873623,2.0,0.74,0.3673469387755102,14.0,1.0,50.0,32.831971130371095,1.8248676602725193,33.18706912994385,0.975918532634268,0.9762702941894531,0.9821126461029053,43.17661758422852,5.178264553184494,42.60658721923828,0.9110859170251963,0.9072044551372528,0.8963185548782349,54.73056053161621,4.267338650807397,53.71320152282715,0.8430801788154914,0.8508512258529664,0.7951956987380981,68.84480102539062,4.615212911107026,71.72019805908204,0.8049864671668228,0.824892395734787,0.7038955092430115,154.43355529785157,8.819692511656283,157.00111694335936,0.7498260006612661,0.7660315573215485,0.6689727902412415,123.81404781341553,0.6227173515101245,50.0,2987.0,0.00013339033704445175,0.999999716761094,0.40156248181963217,0.0011432673560872989,0.44391601365810424,0.0,,25.0,,locked
instance_qutebrowser__qutebrowser-5e0d6dc1483cb3336ea0e3dcbd4fe4aa00fc1742-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,0.06666666666666667,0.7,0.13333333333333333,245.13333333333333,517.8854270546291,0.0,75.8,56.0,54.836125162058934,0.0,0.018610013175230564,1.0054359543217828,0.954434002924965,0.39124356362925566,3.0,0.7,0.2413793103448276,10.0,1.3333333333333333,40.0,33.906801795959474,1.2487858820622222,34.500740432739256,0.9843923428962971,0.985679429769516,0.9650279879570007,43.906578318277994,4.470810823951027,46.405853271484375,0.9352863061017004,0.9403528332710266,0.8556256294250488,53.36800867716472,3.112143675828797,55.150075149536136,0.8602127515036484,0.8767293751239776,0.6990348100662231,64.47163009643555,6.92776590117819,65.61692352294922,0.8047041877590376,0.7825845971703529,0.21466346085071564,147.69352391560872,11.186832223871749,149.9201217651367,0.7549532816327852,0.7407034337520599,0.3441122770309448,115.41938133239746,0.5836420316946802,30.0,1517.0,0.9999999999999998,0.9999999944170495,0.6277704670514084,0.5568018088314186,0.43810898504920365,0.0,,15.0,,success
instance_qutebrowser__qutebrowser-ef5ba1a0360b39f9eff027fbdc57f363597c3c3b-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,0.22,0.66,0.02,302.44,511.056676308998,2389.0,51.0,377.0,202.298537127723,0.6,0.13514623321817196,0.5363596511250623,-0.0,0.4689955935892812,2.0,0.8775510204081632,0.25,12.0,0.98,49.0,32.431064186096194,1.907874500474849,33.460838317871094,0.9805164531785615,0.9815015435218811,0.9555909633636475,41.22639678955078,5.899380160964301,39.82218780517578,0.9179996689971612,0.9289042055606842,0.8528113961219788,52.41620086669922,5.190101228693906,51.231057739257814,0.8437124296110503,0.8827700614929199,0.7173318266868591,70.36744071960449,4.845561196165605,76.1169548034668,0.8366704376376405,0.8771450996398926,0.7103844881057739,158.68143951416016,7.73040463543246,158.29854888916014,0.773954337956954,0.8171081185340882,0.6248412728309631,124.83771057128907,0.636341890642004,50.0,0.0,0.00025443682031590974,0.9999999163391572,0.20458775988228928,0.00045477707649370705,0.34597020852029603,0.0,,30.0,,locked
instance_qutebrowser__qutebrowser-e70f5b03187bdd40e8bf70f5f3ead840f52d1f42-v02ad04386d5238fe2d1a1be450df257370de4b6a,0.08,0.4,0.18,143.02,481.3464652409946,0.0,155.0,8.0,70.87773445053175,0.0,0.07777777777777778,0.8346482851813828,0.7642045065086203,0.8812908992306927,2.0,0.7346938775510204,0.4166666666666667,14.0,0.98,49.0,32.703681011589204,1.2114715344000406,33.807352447509764,0.9813103750348091,0.9734472811222077,0.9724136590957642,41.909988481171276,5.1971368280709775,45.9768424987793,0.9218787625432014,0.9048629224300384,0.8549259305000305,53.230777740478516,4.291881774537389,56.334184646606445,0.8594364188611507,0.8441040515899658,0.7225721478462219,69.45639544117208,5.70713125048915,68.70343437194825,0.8206001284221808,0.8069037795066833,0.6691387295722961,156.34121330416932,8.94984687211487,153.93384857177733,0.7581046478201946,0.7140013605356217,0.5687772631645203,120.12649612426758,0.5953350675301655,50.0,5721.0,2.4589425166792412e-05,0.9999999993139776,0.25160608786340044,0.20164359714184893,0.39901564273261153,0.0,,24.0,,locked
